word
Доктор
Полицейский
Повар
Учитель
Пожарный
Стеклодув
Кузнец
Астронавт
Футболист
Электрик
Программист
Альпинист
Тренер
Врач
Безработный
Охранник
Боксер
Супергерой
Художник
