name
Бокс
Покер
Футбол
Хоккей
Теннис
Бадминтон
Бильярд
Боуллинг
Скачки
Тяжелая атлетика
Легкая атлетика
Плавание
Настольный теннис
Фигурное катание
Синхронное плавание
Двадцать одно (очко)
Гольф
Лыжи
